Batsmen,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Melusi Magagula,Eswatini,Right hand Bat,Right arm Medium,Swaziland,,
Lindinkosi Zulu,Eswatini,Right hand Bat,Right arm Medium fast,Swaziland,,
Haris Rashid,Eswatini,Right hand Bat,Right arm Medium,Swaziland,,
Mancoba Jele,Eswatini,Right hand Bat,Right arm Medium fast,Swaziland,,
Tahir Abdul Umarji Patel,Eswatini,Right hand Bat,Right arm Medium,Eswatini,,
Delisa Malinga,Eswatini,Right hand Bat,Right arm Offbreak,Swaziland,,
Jose Bulele,Mozambique,Right hand Bat,Right arm Offbreak,Mozambique Under-19s,,
Francisco Damiao Couana,Mozambique,Right hand Bat,Right arm Medium,Mozambique,,
Joao Jorge Hou,Mozambique,Right hand Bat,Right arm Medium,Mozambique,,
Agostinho Abilio Navicha,Mozambique,Right hand Bat,Legbreak,Mozambique,,
Wandile Dlamini,Eswatini,Right hand Bat,Right arm Offbreak,Eswatini,,
Siphesihle Kubheka,Eswatini,Right hand Bat,Right arm Medium fast,Bowler,,
Last Emilio,Mozambique,Right hand Bat,Wicketkeeper,Mozambique,,
Santana de Jesus Jose Dima,Mozambique,Right hand Bat,Right arm Offbreak,Mozambique,,
Mark Sinclair Chapman,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321241.png","Born in Hong Kong, but qualifying for New Zealand through his father, Chapman began his international career with the country of his birth in 2014 having previously made the Under-19 squad as a 15-year-old. He made a century on ODI debut against UAE in 2015 having flown 20 hours following exams in New Zealand, but soon decided to throw his lot in with New Zealand and focused on his career with Auckland. His first New Zealand call-up came in early 2018 for the T20 tri-series involving England and Australia. It was reward for a prolific 2017-18 white-ball season by the left-hander, who scored over 300 runs in the Super Smash and more than 400 in the one-day Ford Trophy. He also bowls part-time left-arm spin which he has been encouraged to continue to work on. As a teenager he suffered a torn anterior cruciate ligament in his left knee playing rugby in New Zealand but it did not stall his cricket career.
ESPNcricinfo staff"
Michael Alexander Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322400/322444.png",Durham Academy youngster Michael Jones hit 87 in a fine debut for Scotland against Ireland in Dubai as his more experienced team-mates toiled. That breakthrough was followed by a first team debut for Durham against Derbyshire at Chesterfield in June of that year.
Gavin Thomas Main,Scotland,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/179800/179829.1.jpg","Durham's growing interest in cricketers north of the border was illustrated by a first-class debut against Nottinghamshire in 2014 for Gavin Main, a fast bowler who played club cricket for the same Uddingston club as Calum MacLeod. He possesses a classical action and a fine yorker, which he showed by clean bowling Stuart Broad as he took a promising 3-72. However injuries and Scotland call-ups ensured he did not play again for Durham until the end of 2015. He made his Twenty20 International debut against Ireland on 19 June 2015, although no play was possible due to rain, and a List A debut followed against Nepal in the 2015-17 ICC World Cricket League Championship.
ESPNcricinfo"
Alasdair Campbell Evans,Scotland,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316674.png","A nagging seamer, Alasdair Evans made his ODI debut against Canada in 2011, at the age of 20. Some impressive performances for Scotland in England's 40-over competition in 2012 earned him a contract with Derbyshire, who he played for in 2012 and 2013. But, although he performed well for the 2nd XI, he made little impact in the first team and was released after 2013. That summer he took 6 for 30 against Kenya in an Intercontinental Cup match. Evans played in the 2015 ODI World Cup, scoring 28 and taking two wickets in a narrow defeat to Afghanistan. He also played the T20 World Cups in 2016 and 2021."
Hamza Tahir,Scotland,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322400/322437.png",
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316521.png","R Ashwin took the tricks and skills he learned playing tennis-ball cricket on the streets of Chennai, particularly the soduku ball, a finger-flicked legbreak, to Test cricket, where he became perhaps the leading offspinner of the first quarter of the 21st century."
Shimron Odilon Hetmyer,West Indies,Left hand Bat,Top order Batter,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320100/320116.png","Left-hander Shimron Hetmyer catches the eye as much for his attacking strokeplay as for his hair, coloured various shades of the rainbow. "
Keemo Mandela Angus Paul,West Indies,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322011.png",
Alzarri Shaheim Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321943.png","Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Musa Twala,Eswatini,Right hand Bat,Right arm Medium,Wicketkeeper,,
Loyiso Enziwe Dlamini,Eswatini,Left hand Bat,Right arm Medium,Eswatini,,
Lourenço Alfredo Simango,Mozambique,Right hand Bat,Right arm Medium,Mozambique,,
Azeem Nazir,Switzerland,Right hand Bat,Right arm Medium fast,Switzerland,,
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323155.png","Nazmul Hossain Shanto emerged from an unusual source in Bangladesh cricket - the schools. A double-century in a school one-day match in Rajshahi grabbed the attention of age-group scouts, who quickly drafted the left-hander into Bangladesh's Under-17s. Soon, he graduated to the Under-19s in 2013, and went on to play two World Cups at that level, in 2014 and 2016."
Gomes Frederico Gomes,Mozambique,Right hand Bat,Right arm Medium,Mozambique Under-19s,,
Filipe Antonio Cossa,Mozambique,Right hand Bat,Right arm Medium,Mozambique,,
Dileep Kumar Pallekonda,Slovenia,Right hand Bat,Slow Left arm Orthodox,Slovenia,,
Suventhiran Santhirakumaran,France,Right hand Bat,France,France,,
Zefanias Emilio Matsinhe,Mozambique,Right hand Bat,Right arm Medium,Mozambique,,
Adam Martel,Guernsey,Right hand Bat,Left arm Medium,Guernsey Under-17s,,
Mouhammad Dawood Ahmadzai,France,Right hand Bat,France,France,,
Vieira Ermelindo Tembo,Mozambique,Right hand Bat,Wicketkeeper,Mozambique,,
Aiden Kyle Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322067.png","The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Devon Cuthbert Thomas,West Indies,Right hand Bat,Right arm Medium,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321997.png","Devon Thomas kept wickets for West Indies' Under-19 in the 2008 World Cup in Malaysia. He took to cricket in 2000 and played for West Indies' Under-19s - he also represents the Leeward Islands - against Barbados in the KFC Cup in 2007-08. He made his one-day international debut in 2009, as part of the weakened West Indies team to play Bangladesh after the senior squad boycotted the series over a contracts dispute with the board. Cricinfo staff August2009"
Victor Munyaradzi Nyauchi,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348590.png",
Mohammad Parvez Hossain Emon,Bangladesh,Left hand Bat,Wicketkeeper,Wicketkeeper Batter,,
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323172.png","Hasan Mahmud is one among a group of young pace bowlers who have given hope of a fast bowling uprising in Bangladesh, after decades of reliance on spin. Mahmud is still at a very early stage of his career, having just played a single T20I for Bangladesh, and earned a maiden call-up in the ODI side in January 2021, but already he has earned plenty of praise from Bangladesh's coaches for his ability to bowl fast, full and accurately. "
Ryan Klein,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,,
Clayton Floyd,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowler,,
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter,,
Obed  Christopher McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322031.png",
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319943.png","Kuldeep Yadav started as a fast bowler when he first joined a cricket academy in Kanpur, but was asked by his coach Kapil Pandey to switch to something much rarer - left-arm wristspin. The change wasn't smooth - Kuldeep admitted that he had even tried once - but he soon realised bowling left-arm wristspin was the way forward for him. And he was good at it too, having not only solid control over the length, but also a potent wrong'un among his variations."
Hashmatullah Shahidi,Afghanistan,Hashmat Shaidi,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320495.png","Hashmatullah Shaidi is a young left-handed batsman whose hard work in Afghanistan's age group teams eventually allowed him to break into the senior squad. Shaidi started his journey in the Under-17 side and was included in Afghanistan's squad for the 2010 Under-19 World Cup in New Zealand. Four years later, he was part of the Under-19 team that beat Australia and Sri Lanka, and was rewarded with a spot in the squad for Afghanistan's first full tour of Zimbabwe. His favourite shot is the cover-drive and he idolises Kumar Sangakkara.Liam Brickhill"
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321311.png",
Naveen-ul-Haq Murid,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320500/320502.png",
Devon Philip Conway,New Zealand,Left hand Bat,Right arm Medium,Occasional Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321214.png",
Kane Stuart Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316618.png","By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
Meet Bhavsar,Kuwait,Left hand Bat,Wicketkeeper,Top order Batter,,
Bodadura Ravija Sandaruwan de Silva,Kuwait,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/342000/342086.gif",
Adnan Idrees,Kuwait,Right hand Bat,Right arm Offbreak,Batting Allrounder,,
Muhammad Kashif Sharif,Kuwait,Right hand Bat,Right arm Offbreak,Kuwait,,
Bilal Mohammad Tahir Ghulam Hussain,Kuwait,Bilal Khan,Left hand Bat,Batter,,
Shiraz Khan Shereef,Kuwait,Right hand Bat,Legbreak Googly,Allrounder,,
Edson Daisy Silva,Kuwait,Right hand Bat,Batting Allrounder,Kuwait,,
Mohammed Nawfer Mohammed Aslam,Kuwait,Right hand Bat,Left arm Slow,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/342000/342085.gif",
Haroon Shahid,Kuwait,Right hand Bat,Slow Left arm Orthodox,Kuwait,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/124500/124538.1.jpg",
Nawaf Ahmed Inamdar,Kuwait,Left hand Bat,Right arm Medium,Bowler,,
Mohamed Shafeeq Manakkadavath,Kuwait,Right hand Bat,Right arm Medium,Bowler,,
Janaka Chaturanga Kehelwala Gedara,Bahrain,Right hand Bat,Right arm Medium,Bahrain,,
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348600/348603.png",
Graham Ian Hume,Ireland,Left hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/112600/112615.1.jpg","Graham Hume is a left-hand batsman and right-arm medium pacer who compares his style to South African fast bowler Charl Langeveldt but whose hero is AB de Villiers. He was named in South Africa's squad for the Under-19 World Cup in New Zealand in January 2010 and he was his team's leading wicket-taker with 13 wickets. Cricinfo staff January 2010
"
Usman Patel,Kuwait,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,,
Sachin Kumar,Bahrain,Right hand Bat,Right arm Offbreak,Bahrain,,
Shahid Mahmood,Bahrain,Right hand Bat,Right arm Medium,Bahrain,,
Sayed Monib Sayed Ahmad,Kuwait,Right hand Bat,Right arm Medium,Bowler,,
Yasin Ishak Patel,Kuwait,Left hand Bat,Slow Left arm Orthodox,Bowler,,
Avi Dixit,Singapore,Left hand Bat,Right arm Medium fast,Batter,,
Chundangapoyil Puthiyapurayil Rizwan,United Arab Emirates,Right hand Bat,Legbreak Googly,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320320.png",
Aryan Lakra,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/348600/348620.4.jpg",
Sultan Ahmed,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321800/321893.png",
Adwitya Bhargava,Singapore,Right hand Bat,Right arm Medium,Singapore,,
Alex Auma Obanda,Kenya,Right hand Bat,Right arm Medium fast,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321354.png","Alex Obanda, a top-order strokemaker who is particular strong through the off side, he has been considered one of the most promising young batsmen for some time. He represented Kenya at Under-17 level while still only 14, and in 2007 he was one of the successes of Kenya's participation in Zimbabwe's Logan Cup, scoring 386 runs at 38.60 including a maiden first-class hundred. That won him selection for the Africa XI in the Afro-Asia Cup in June, but he struggled in two outings against India A in August, making three ducks in four innings.  He was nevertheless rewarded with selection for the full Kenya side in the Twenty20 World Championship.
Martin Williamson
"
Collins Omondi Obuya,Kenya,Collins Omondi,Collo,Right hand Bat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321358.png","Collins Obuya hit the headlines as a legspinning allrounder in the 2003 World Cup during Kenya's astonishing march to the semi-finals, where he picked up 13 wickets at 28.76, including 5 for 24 in the victory over Sri Lanka at Nairobi. That won him a one-year contract with Warwickshire, but he failed to make any impression.  He missed his next chance on the big stage when appendicitis ruled him out of the 2004 Champions Trophy, and he then joined the players' strike which followed before heading to South Africa to play club cricket.  His continued to struggle with his bowling, and in November 2005 he went to Australia for five weeks to spend time with Terry Jenner in a bid to recapture it.  That failed, and Obuya had to develop his batting and he now plays as a specialist batsman and a very good fielder.
Martin Williamson February 2007
"
Irfan Ali Karim,Kenya,Left hand Bat,Right arm Offbreak,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321368.png",
Rakep Rajendra Patel,Kenya,Rakep,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321385.png","One of Kenyan cricket's clutch of promising youngsters, Rakep Patel is an aggressive right-handed batsman and occasional offspinner. Patel's first outing for Kenya came on his first-class debut, aged 17, for Kenya Select XI against Westerns in Zimbabwe's Logan Cup competition. Patel started his career in the lower middle order, but has since moved up the order and his best ODI performance to date came as an opener when he cracked 92 to help seal a six-wicket win over Netherlands in Nairobi in February 2010. He had to pull out of Kenya's squad for their Intercontinental Cup game against Canada in August 2009 when his father passed away, and captain Maurice Ouma dedicated the victory in that game ""to my team-mate's dad"". Unafraid to play his shots when the situation warrants, Patel smashed 71 from just 29 balls, including eight sixes, in a 50-over match against Uganda in December 2009. But he is also developing as a batsman in the longer forms of the game, and his 87 helped Kenya chase down a target of 320 in their second innings in an Intercontinental Cup game against Netherlands in February 2010. As Kenya look to rebuild after a turbulent period and re-assert their status as the leading Associate nation, Patel could be an important part of their plans.
Liam Brickhill "
Nelson Mandela Odhiambo,Kenya,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321381.png","Named after the pre-eminent African leader of the 20th century, Nelson Mandela Odhiambo is a medium-fast seamer who represented Kenya Under-19s and Kenya A before cracking into the senior side during the Tri-series against Uganda and Scotland. His uncle, allrounder Thomas Odoyo, is one of the finest cricketers to have represented Kenya and Odhiambo had the honour of opening the bowling with him for the first time during the World Cricket League Division One tournament in Netherlands in July 2010. Though his bowling has already shown promise, Odhiambo is an unabashed tailender with a high score of 7 across all formats.
Liam Brickhill July 2010"
Sachin Ramniklal Bhudia,Kenya,Right hand Bat,Right arm Medium,Allrounder,,
Lucas Oluoch Ndandason,Kenya,Lucas Ndandason,Right hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321375.png",
Shem Obado Ngoche,Kenya,Shem Obado,Right hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321389.png","One of a number of younger players starting to force their way into the Kenyan national side, Shem Obado Ngoche is a diminutive left-arm spinner whose early performances in the senior team suggested much promise as a limited-overs bowler. Often operating around the wicket, Ngoche does not turn the ball much but has the gift of accuracy. Ngoche comes from a strong cricket-playing family, with five of his siblings having represented the senior men's and women's sides.
Liam Brickhill "
Nehemiah Ngoche Odhiambo,Kenya,Nehemiah Ngoche,Nemi,Right hand Bat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321380.png",
Pawan Sarraf,Nepal,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330465.png",
Emmanuel Bundi Ringera,Kenya,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321363.png",
Eugene Ochieng,Kenya,Eugene Odhiambo,Maneno,Right hand Bat,,
Vraj Patel,Kenya,Right hand Bat,Slow Left arm Orthodox,Kenya,,
Basir Ahamad,Nepal,Left hand Bat,Slow Left arm Orthodox,Nepal,,
Matheesha Pathirana,Sri Lanka,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/344800/344841.gif",
Lokumarakkalage Dilshan Madushanka,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348600/348600.png",
Sukhdeep Singh,Kenya,Right hand Bat,Right arm Offbreak,Allrounder,,
Arjun Saud,Nepal,Right hand Bat,Wicketkeeper,Nepal,,
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320467.png","A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career."
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322217.png","Mohammad Nawaz started out in cricket at the age of 14 as a left-arm medium-fast bowler and a middle-order batsman. An all-round performance of 60 runs and a four-for for Rawalpindi against Sialkot in an inter-region Under-16 tournament in 2008 earned him a place in the Pakistan side for the International Under-15 Championship in the West Indies. On the slow pitches of the Caribbean, he changed his bowling style to left-arm spin and transformed into a spin-bowling allrounder, with help from  coach Ameer Akbar and team manager Haroon Rashid. "
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322202.png",
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322223.png","Zarai Taraqiati Bank Limited may not be an esteemed name in Pakistan cricket, but it was for this deparment that Naseem Shah made his first-class debut at 15. With a natural, whippy action that generated easy pace, he immediately stood out even in that most competitive of fields - Pakistani fast bowling. A year later, he was making his Pakistan debut in Brisbane, though not before adversity touched him; he would lose his mother just before he received his first Pakistan cap. "
Shahnawaz Dahani,Pakistan,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322169.png",
Kannaur Lokesh Rahul,India,Right hand Bat,Wicketkeeper,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319942.png","A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
Elijah Otieno Asoyo,Kenya,Elijah Asoyo,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321362.png","Elijah Otieno is an accurate medium-pace bowler who gets bounce from the pitch. He first came to attention when he  played for Kenya in the Logan Cup, but in three outings took only 1 for 166. He was, however, considered one of the best young prospects and one observer noted that he deserved far more success as he beats the bat so often. He has no pretensions as a batsman - he made five ducks in his first seven first-class outings. He was nevertheless rewarded with selection for the full Kenya side in the Twenty20 World Championship.
Martin Williamson
"
Shahab Alam,Nepal,Bowler,Nepal,Nepal,,
Mohammad Saifuddin,Bangladesh,Left hand Bat,Right arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322800/322800.png","Mohammad Saifuddin is a pace-bowling allrounder whose attitude, mental make-up and early performances have excited many in Bangladesh cricket. "
Mehidy Hasan Miraz,Bangladesh,Miraz,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319728.png","Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October."
Mohammad Sabbir Rahman,Bangladesh,Rumon,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316665.png","Sabbir Rahman shot into the limelight with an 18-ball unbeaten 33 in the gold-medal match of the 2010 Asian Games against Afghanistan. Bangladesh needed 44 from the last five overs of the T20 game, and Sabbir coolly struck three sixes to ensure the country's first gold in the Asian Games itself."
Taskin Ahmed,Bangladesh,Tazin,Left hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316700/316703.png","Even before he was anywhere near making his international debut, Taskin Ahmed became an internet sensation. A video of his spell against England Under-19s in 2012 found its way to Youtube, and the sight of a Bangladeshi fast bowler ripping it past batsman and hitting the wicketkeeper's gloves quite hard and high made people curious."
Asitha Madusanka Fernando,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323125.png",
Mohammad Hasnain,Pakistan,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322216.png",
Fareed Ahmad Malik,Afghanistan,Farid Malik,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320494.png",
Nalin Nipiko,Vanuatu,Right hand Bat,Right arm Medium,Vanuatu,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/243300/243387.1.jpg",
Junior Paul Kaltapau,Vanuatu,Right hand Bat,Right arm Offbreak,Umpire,,
Patrick Kaltaneaki Matautaava,Vanuatu,Right hand Bat,Right arm Medium,A Mansale (cousin),"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/243300/243389.1.jpg",
Jarryd David Allan,Vanuatu,Right hand Bat,Wicketkeeper,Vanuatu,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/343300/343306.png",
Andrew Mansale,Vanuatu,Right hand Bat,Right arm Offbreak,PK Matautaava (cousin),"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/243300/243369.1.jpg",
Joshua Rasu,Vanuatu,Right hand Bat,Right arm Medium,Vanuatu Under-19s,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/243300/243385.1.jpg",
Ronald Tari,Vanuatu,Right hand Bat,Right arm Medium,Umpire,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/243300/243391.1.jpg",
Noa Acawei,Fiji,Right hand Bat,Fiji,Fiji,,
Seru Marutu Tupou,Fiji,Left hand Bat,Right arm Medium,Fiji Under-19s,,
Delaimatuku Sokoiwasa Maraiwai,Fiji,Dels,Right hand Bat,Fiji Under-19s,,
Josaia Baleicikobia,Fiji,Right hand Bat,Right arm Medium,Fiji Under-19s,,
